"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",1,160000,160000,160000,160000,160000,160000,160000,160000,160000
"POST /",1,1700,1700,1700,1700,1700,1700,1700,1700,1700
"Total",2,160000,160000,160000,160000,160000,160000,160000,160000,160000
