"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",10,21000,38000,38000,38000,38000,38000,38000,38000,38000
"POST /",1,21000,21000,21000,21000,21000,21000,21000,21000,21000
"Total",11,21000,38000,38000,38000,38000,38000,38000,38000,38000
