"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",11,372,16000,17454,5429,35598,3079,0.26
"POST","/",0,3,0,0,0,0,0,0.00
"GET","/analysis.html",0,75,0,0,0,0,0,0.00
"GET","/compare.html",0,134,0,0,0,0,0,0.00
"GET","/measure.html",0,221,0,0,0,0,0,0.00
"GET","/movers.html",0,147,0,0,0,0,0,0.00
"GET","/prediction.html",0,89,0,0,0,0,0,0.00
"None","Total",11,1041,16000,17454,5429,35598,3079,0.26
