"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",1,1500,1500,1500,1500,1500,1500,1500,1500,1500
"POST /",1,1600,1600,1600,1600,1600,1600,1600,1600,1600
"GET /analysis.html",4,110,110,120,120,120,120,120,120,120
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",2,1500,1500,1500,1500,1500,1500,1500,1500,1500
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",1,1100,1100,1100,1100,1100,1100,1100,1100,1100
"GET /compare.html",4,120,120,5000,5000,5000,5000,5000,5000,5000
"/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",1,2900,2900,2900,2900,2900,2900,2900,2900,2900
"GET /measure.html",7,95,110,110,110,5200,5200,5200,5200,5200
"POST /measureResults.html",7,870,1100,1800,1800,2000,2000,2000,2000,2000
"GET /movers.html",4,100,100,210,210,210,210,210,210,210
"POST /moversResult.html",3,5600,5600,207000,207000,207000,207000,207000,207000,207000
"GET /prediction.html",6,86,86,140,140,150,150,150,150,150
"POST /predictionResult.html",5,2100,2300,2300,3300,3300,3300,3300,3300,3300
"Total",46,170,1500,1700,2000,4700,5200,207000,207000,207000
