"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",4,213000,213000,214000,214000,214000,214000,214000,214000,214000
"POST /",1,220,220,220,220,220,220,220,220,220
"GET /analysis.html",3,91,91,220,220,220,220,220,220,220
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",3,2200,2200,3000,3000,3000,3000,3000,3000,3000
"GET /compare.html",1,130,130,130,130,130,130,130,130,130
"/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"GET /measure.html",5,110,110,110,120,120,120,120,120,120
"POST /measureResults.html",4,1200,1200,1900,1900,1900,1900,1900,1900,1900
"GET /prediction.html",3,83,83,110,110,110,110,110,110,110
"POST /predictionResult.html",3,1200,1200,1800,1800,1800,1800,1800,1800,1800
"Total",27,230,1200,1900,2100,3000,213000,214000,214000,214000
