"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",1,1,140,142,142,142,3079,0.01
"POST","/",1,0,230,233,233,233,2524,0.01
"GET","/analysis.html",5,1,85,86,82,90,52051,0.05
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",1,3,1500,1548,1548,1548,6903104,0.01
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",0,1,0,0,0,0,0,0.00
"GET","/compare.html",9,3,100,124,100,284,108007,0.08
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",3,2,5300,5526,4320,6945,13881856,0.03
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",1,2,3700,3723,3723,3723,14023540,0.01
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",1,0,860,857,857,857,2149495,0.01
"GET","/measure.html",14,4,87,88,86,100,46265,0.13
"POST","/measureResults.html",2,12,2900,3908,2876,4940,3418276,0.02
"GET","/movers.html",8,2,67,70,65,89,3745,0.07
"POST","/moversResult.html",3,5,5700,6414,4917,8643,16728,0.03
"GET","/prediction.html",2,2,76,77,76,78,40365,0.02
"POST","/predictionResult.html",1,1,1200,1230,1230,1230,3449424,0.01
"None","Total",52,39,88,1055,65,8643,1481811,0.48
