"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",1,140,140,140,140,140,140,140,140,140
"POST /",1,230,230,230,230,230,230,230,230,230
"GET /analysis.html",5,85,87,87,90,90,90,90,90,90
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",1,1500,1500,1500,1500,1500,1500,1500,1500,1500
"/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"GET /compare.html",9,100,100,100,120,280,280,280,280,280
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",3,5300,5300,6900,6900,6900,6900,6900,6900,6900
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",1,3700,3700,3700,3700,3700,3700,3700,3700,3700
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",1,860,860,860,860,860,860,860,860,860
"GET /measure.html",14,87,87,87,87,88,100,100,100,100
"POST /measureResults.html",2,4900,4900,4900,4900,4900,4900,4900,4900,4900
"GET /movers.html",8,67,67,71,71,89,89,89,89,89
"POST /moversResult.html",3,5700,5700,8600,8600,8600,8600,8600,8600,8600
"GET /prediction.html",2,78,78,78,78,78,78,78,78,78
"POST /predictionResult.html",1,1200,1200,1200,1200,1200,1200,1200,1200,1200
"Total",52,89,100,280,1200,4900,5700,6900,8600,8600
