"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",1,246000,246000,246000,246000,246000,246000,246000,246000,246000
"Total",1,246000,246000,246000,246000,246000,246000,246000,246000,246000
