"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",1,130,130,130,130,130,130,130,130,130
"POST /",1,270,270,270,270,270,270,270,270,270
"GET /analysis.html",1,210,210,210,210,210,210,210,210,210
"/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"GET /compare.html",1,130,130,130,130,130,130,130,130,130
"GET /measure.html",1,90,90,90,90,90,90,90,90,90
"POST /measureResults.html",1,3300,3300,3300,3300,3300,3300,3300,3300,3300
"Total",6,210,210,270,270,3300,3300,3300,3300,3300
