"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",1,1,130,128,128,128,3079,0.16
"POST","/",1,0,270,267,267,267,2524,0.16
"GET","/analysis.html",1,0,210,207,207,207,52051,0.16
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",0,1,0,0,0,0,0,0.00
"GET","/compare.html",1,0,130,131,131,131,108007,0.16
"GET","/measure.html",1,0,90,90,90,90,46265,0.16
"POST","/measureResults.html",1,0,3300,3311,3311,3311,3421703,0.16
"None","Total",6,2,130,689,90,3311,605604,0.94
