"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",6,47000,47000,49000,49000,53000,53000,53000,53000,53000
"POST /",4,15000,15000,15000,15000,15000,15000,15000,15000,15000
"GET /analysis.html",3,3800,3800,63000,63000,63000,63000,63000,63000,63000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",2,8900,8900,8900,8900,8900,8900,8900,8900,8900
"GET /compare.html",5,3900,18000,18000,102000,102000,102000,102000,102000,102000
"/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"GET /measure.html",10,190,6100,8600,63000,69000,69000,69000,69000,69000
"POST /measureResults.html",4,4500,4500,10000,10000,10000,10000,10000,10000,10000
"GET /movers.html",5,100,4900,4900,8600,8600,8600,8600,8600,8600
"POST /moversResult.html",1,77000,77000,77000,77000,77000,77000,77000,77000,77000
"GET /prediction.html",3,14000,14000,66000,66000,66000,66000,66000,66000,66000
"POST /predictionResult.html",1,1600,1600,1600,1600,1600,1600,1600,1600,1600
"Total",44,8300,14000,45000,47000,63000,69000,102000,102000,102000
