"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",15,130,130,180,6800,10000,16000,16000,16000,16000
"POST /",10,720,820,870,3100,29000,29000,29000,29000,29000
"GET /compare.html",2,1100,1100,1100,1100,1100,1100,1100,1100,1100
"GET /measure.html",1,360,360,360,360,360,360,360,360,360
"GET /movers.html",4,98,98,4600,4600,4600,4600,4600,4600,4600
"GET /prediction.html",4,170,170,190,190,190,190,190,190,190
"POST /predictionResult.html",2,4400,4400,4400,4400,4400,4400,4400,4400,4400
"Total",38,250,700,870,3100,6800,16000,29000,29000,29000
